FeldShort,Ausbildungsfeld,Canton,Ausbildungstyp,Geschlecht_Total,Geschlecht_Vollschulisch,Geschlecht_Dual,Mann_Total,Mann_Vollschulisch,Mann_Dual,Frau_Total,Frau_Vollschulisch,Frau_Dual
Coiffeur,Coiffeurgewerbe und Schönheitspflege,AG,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TG,abt-total,35,0,35,4,0,4,31,0,31
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TG,EFZ,33,0,33,3,0,3,30,0,30
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TG,EBA,2,0,2,1,0,1,1,0,1
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TG,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TI,abt-total,70,0,70,8,0,8,62,0,62
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TI,EFZ,65,0,65,8,0,8,57,0,57
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TI,EBA,5,0,5,0,0,0,5,0,5
Coiffeur,Coiffeurgewerbe und Schönheitspflege,TI,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VD,abt-total,120,10,110,12,0,12,108,10,98
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VD,EFZ,107,10,97,10,0,10,97,10,87
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VD,EBA,13,0,13,2,0,2,11,0,11
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VD,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VS,abt-total,63,0,63,2,0,2,61,0,61
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VS,EFZ,57,0,57,2,0,2,55,0,55
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VS,EBA,6,0,6,0,0,0,6,0,6
Coiffeur,Coiffeurgewerbe und Schönheitspflege,VS,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NE,abt-total,54,0,54,12,0,12,42,0,42
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NE,EFZ,53,0,53,12,0,12,41,0,41
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NE,EBA,1,0,1,0,0,0,1,0,1
Coiffeur,Coiffeurgewerbe und Schönheitspflege,NE,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GE,abt-total,45,0,45,7,0,7,38,0,38
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GE,EFZ,42,0,42,7,0,7,35,0,35
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GE,EBA,3,0,3,0,0,0,3,0,3
Coiffeur,Coiffeurgewerbe und Schönheitspflege,GE,nReglementiert,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,JU,abt-total,13,0,13,0,0,0,13,0,13
Coiffeur,Coiffeurgewerbe und Schönheitspflege,JU,EFZ,13,0,13,0,0,0,13,0,13
Coiffeur,Coiffeurgewerbe und Schönheitspflege,JU,EBA,0,0,0,0,0,0,0,0,0
Coiffeur,Coiffeurgewerbe und Schönheitspflege,JU,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,,abt-total,323,0,323,298,0,298,25,0,25
Verkehrsdienstleistungen,Verkehrsdienstleistungen,,EFZ,318,0,318,293,0,293,25,0,25
Verkehrsdienstleistungen,Verkehrsdienstleistungen,,EBA,5,0,5,5,0,5,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZH,abt-total,22,0,22,22,0,22,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZH,EFZ,22,0,22,22,0,22,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZH,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZH,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BE,abt-total,40,0,40,37,0,37,3,0,3
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BE,EFZ,40,0,40,37,0,37,3,0,3
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BE,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BE,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,LU,abt-total,25,0,25,21,0,21,4,0,4
Verkehrsdienstleistungen,Verkehrsdienstleistungen,LU,EFZ,25,0,25,21,0,21,4,0,4
Verkehrsdienstleistungen,Verkehrsdienstleistungen,LU,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,LU,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,UR,abt-total,2,0,2,2,0,2,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,UR,EFZ,2,0,2,2,0,2,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,UR,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,UR,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SZ,abt-total,4,0,4,4,0,4,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SZ,EFZ,4,0,4,4,0,4,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SZ,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SZ,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,OW,abt-total,4,0,4,4,0,4,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,OW,EFZ,4,0,4,4,0,4,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,OW,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,OW,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,NW,abt-total,2,0,2,2,0,2,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,NW,EFZ,2,0,2,2,0,2,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,NW,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,NW,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GL,abt-total,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GL,EFZ,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GL,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GL,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZG,abt-total,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZG,EFZ,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZG,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,ZG,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,FR,abt-total,21,0,21,20,0,20,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,FR,EFZ,21,0,21,20,0,20,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,FR,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,FR,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SO,abt-total,6,0,6,5,0,5,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SO,EFZ,6,0,6,5,0,5,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SO,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SO,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BS,abt-total,16,0,16,16,0,16,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BS,EFZ,16,0,16,16,0,16,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BS,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BS,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BL,abt-total,11,0,11,10,0,10,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BL,EFZ,11,0,11,10,0,10,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,BL,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,Bl,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SH,abt-total,5,0,5,5,0,5,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SH,EFZ,5,0,5,5,0,5,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SH,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SH,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AR,abt-total,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AR,EFZ,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AR,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AR,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AI,abt-total,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AI,EFZ,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AI,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AI,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SG,abt-total,32,0,32,26,0,26,6,0,6
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SG,EFZ,32,0,32,26,0,26,6,0,6
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SG,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,SG,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GR,abt-total,15,0,15,14,0,14,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GR,EFZ,15,0,15,14,0,14,1,0,1
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GR,EBA,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,GR,nReglementiert,0,0,0,0,0,0,0,0,0
Verkehrsdienstleistungen,Verkehrsdienstleistungen,AG,abt-total,26,0,26,23,0,23,3,0,3
